SKU,Version,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
F4s,,210.97,168.63,164.98000000000002,165.71,145.27,145.27,181.77,145.27
F8,,421.94,337.26,329.96000000000004,331.42,290.54,290.54,363.54,290.54
F8s,,421.94,337.26,329.96000000000004,331.42,290.54,290.54,363.54,290.54
G1,,,481.8,,510.99999999999994,,401.50000000000006,445.3,357.7
G2,,,963.6,,1021.9999999999999,,803.0000000000001,890.6,716.13
G3,,,1927.2,,2043.9999999999998,,1606.0000000000002,1781.2,1431.53
G4,,,3854.4,,4087.9999999999995,,3212.0000000000005,3562.4,2863.06
G5,,,6854.700000000001,,7292.7,,5708.6,6343.7,5708.6
GS1,,,481.8,,510.99999999999994,,401.50000000000006,445.3,357.7
GS2,,,963.6,,1021.9999999999999,,803.0000000000001,890.6,716.13
GS3,,,1927.2,,2043.9999999999998,,1606.0000000000002,1781.2,1431.53
GS4,,,3854.4,,4087.9999999999995,,3212.0000000000005,3562.4,2863.06
GS5,,,6854.700000000001,,7292.7,,5708.6,6343.7,5708.6
H16,,,809.5699999999999,850.45,905.9300000000001,792.05,,850.45,697.15
H16,,,1349.04,1416.93,1507.45,1319.11,,1416.93,1161.43
H16m,,,1084.78,1139.53,1213.99,1061.42,,1139.53,933.67
H16m,,,1807.48,1898.73,2019.9099999999999,1768.0600000000002,,1898.73,1556.3600000000001
H16mr,,,1192.82,1253.41,1232.24,1167.27,,1253.41,1027.1100000000001
H16mr,,,1988.5200000000002,2088.53,2221.3900000000003,1944.72,,2088.53,1711.8500000000001
H16r,,,890.6,935.13,996.45,871.62,,935.13,766.5
H16r,,,1484.09,1559.2800000000002,1657.83,1451.24,,1559.2800000000002,1277.5
H8,,,674.52,708.8299999999999,753.36,659.9200000000001,,708.8299999999999,581.08
H8,,,405.15000000000003,424.85999999999996,452.6,396.39000000000004,,424.85999999999996,348.21
H8m,,,542.39,569.4,606.63,530.71,,569.4,467.2
H8m,,,903.74,949.7299999999999,1009.59,884.0300000000001,,949.7299999999999,778.1800000000001
HB60rs,,,1081.86,998.6400000000001,2163.72,1664.3999999999999,832.1999999999999,,
HC44rs,,,3006.1400000000003,1387.73,3006.1400000000003,2312.6400000000003,1156.3200000000002,1503.0700000000002,2312.6400000000003
L16s,,,1092.08,,1086.24,,1002.29,1004.4799999999999,911.04
L32s,,,2184.16,,2172.48,,2004.58,2008.9599999999998,1822.08
L4s,,,273.02,,271.56,,250.39000000000001,251.11999999999998,227.76
L8s,,,546.04,,543.12,,500.78000000000003,502.23999999999995,455.52
M128ms,,35314.6625,28249.54,23378.688,27275.136,19482.239999999998,19482.239999999998,,19482.239999999998
M128s,,17649.574999999997,14118.2,11684.380000000001,13631.289999999999,9736.74,9736.74,,9736.74
M16ms,,4066.00875,3252.807,2691.9480000000003,3140.606,2243.29,2243.29,,2243.29
M16s,,3158.3450000000003,2526.5299999999997,2090.72,2439.514,1742.51,1742.51,,1742.51
M32ls,,3145.935,2516.748,2327.9700000000003,2516.748,2097.29,2097.29,,2097.29
M32ms,,8131.92625,6505.541,5383.896000000001,6281.212,4486.58,4486.58,,4486.58
M32s,,4412.6675,3530.134,2921.46,3408.37,2434.55,2434.55,,2434.55
M32ts,,2964.165,2371.04,2193.4821,2371.04,1976.11,1976.11,,1976.11
M64ls,,5929.425,4743.54,4387.7745,4743.54,3952.95,3952.95,,3952.95
M64ms,,13678.375,10941.970000000001,9055.65,10564.56,7546.01,7546.01,,7546.01
M64s,,8824.787499999999,7059.1,5842.1900000000005,6816.01,4868.37,4868.37,,4868.37
M8ms,,2032.95875,1626.367,1345.9740000000002,1570.303,1121.645,1121.645,,1121.645
NC12,,,848.26,624.15,751.9,578.1600000000001,578.1600000000001,693.5,578.1600000000001
NC12,,,1928.6599999999999,1419.12,1703.0900000000001,1314,1314,,1314
