SKU,Version,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
M32ls,,4489.135,3583.5699999999997,3398.15,3583.5699999999997,3171.85,3171.85,,3171.85
M32ms,,10213.886250000001,8171.109,7048.88,7946.78,6152.148,6152.148,,6152.148
M32s,,5755.8675,4604.694,3996.02,4482.93,3509.11,3509.11,,3509.11
M32ts,,4307.365,3445.6,3268.0421,3445.6,3050.67,3050.67,,3050.67
M64ls,,8615.825,6892.66,6536.8945,6892.66,6102.07,6102.07,,6102.07
M64ms,,17842.1125,14272.96,12280.79,13896.28,10687.93,10687.93,,10687.93
M64s,,11511.1875,9208.95,7991.3099999999995,8965.130000000001,7017.49,7017.49,,7017.49
M8ms,,2553.44875,2042.54,1762.22,1986.3300000000002,1538.037,1538.037,,1538.037
NC12,,,1251.22,1027.1100000000001,1154.8600000000001,981.12,981.12,1096.46,981.12
NC12,,,2272.49,1687.76,2025.02,1582.64,1582.64,,1582.64
NC24,,,2503.17,2054.95,2308.99,1962.24,1962.24,2193.65,1962.24
NC24,,,4544.98,3375.52,4050.7700000000004,3165.28,3165.28,,3165.28
NC24r,,,2673.2599999999998,2179.78,2459.3700000000003,2077.58,2077.58,2332.35,2077.58
NC24R,,,4999.77,3712.78,4455.92,3482.1,3482.1,,3482.1
NC6,,,625.61,513.92,577.4300000000001,490.56,490.56,548.23,490.56
NC6,,,1135.88,843.88,1012.51,791.32,791.32,,791.32
ND12s,,,5226.07,,4657.4,3639.7799999999997,,,3639.7799999999997
ND24rs,,,11499.69,,10248.47,8008.83,,,8008.83
ND24s,,,10452.14,,9314.07,7279.5599999999995,,,7279.5599999999995
ND6s,,,2612.67,,2328.7,1819.8899999999999,,,1819.8899999999999
NV12,,,2722.9,2127.95,2328.7,2102.4,2060.06,,1872.45
NV12,,,1795.8,1462.92,1599.4299999999998,1401.6,1455.62,1489.2,1359.99
NV24,,,5445.8,4255.9,4657.4,4205.53,4119.389999999999,,3744.9
NV24,,,3590.87,2925.84,3198.8599999999997,2803.2,2911.24,2978.4,2719.98
NV6,,,1361.45,1064.34,1164.35,1051.2,1030.03,,936.5899999999999
NV6,,,897.9,731.46,799.35,700.8,727.81,744.6,680.36
PB12s,,,2099.48,,2099.48,1614.7600000000002,,,1614.7600000000002
PB24s,,,4198.2300000000005,,4198.2300000000005,3229.5200000000004,,,3229.5200000000004
PB6s,,,1049.74,,1049.74,807.3800000000001,,,807.3800000000001
A1 v2,v2,55.48,49.64,45.26,45.26,47.45,47.45,47.45,39.42
A2 v2,v2,116.07000000000001,103.66,94.9,94.9,99.28,99.28,99.28,82.49000000000001
A2m v2,v2,197.10000000000002,148.19,153.29999999999998,137.24,131.4,131.4,164.25,109.5
A4 v2,v2,243.09,217.54,200.02,200.02,208.77999999999997,208.77999999999997,208.77999999999997,173.73999999999998
A4m v2,v2,413.90999999999997,310.25,321.93,287.62,262.8,275.94,328.5,229.95
A8 v2,v2,510.99999999999994,456.25,419.74999999999994,419.74999999999994,438,438,438,365
A8m v2,v2,869.4300000000001,651.89,675.98,603.7099999999999,525.6,579.62,657,483.26000000000005
D1 v2,v2,121.91000000000001,105.85,84.68,97.09,91.98,85.41000000000001,91.98,85.41000000000001
D11 v2,v2,256.96,215.35,177.39,203.67000000000002,192.72,177.39,192.72,177.39
D12 v2,v2,513.92,431.42999999999995,354.78,406.61,385.44,354.78,385.44,354.78
D13 v2,v2,1027.1100000000001,862.8599999999999,709.56,813.22,770.88,709.56,770.88,709.56
D14 v2,v2,2054.2200000000003,1724.99,1419.12,1626.44,1541.0300000000002,1419.12,1541.0300000000002,1419.12
D15 v2,v2,2568.14,2156.42,1773.9,2033.0500000000002,1926.4699999999998,1773.9,1926.4699999999998,1773.9
D15i v2,v2,2568.14,2156.42,1773.9,2033.0500000000002,1926.4699999999998,1773.9,1926.4699999999998,1773.9
D2 v2,v2,243.09,211.7,169.36,194.18,183.96,170.82000000000002,183.96,170.82000000000002
D3 v2,v2,486.91,423.4,339.45000000000005,389.09000000000003,367.92,341.64000000000004,367.92,341.64000000000004
D4 v2,v2,973.0899999999999,846.07,678.1700000000001,778.1800000000001,735.84,683.2800000000001,735.84,683.2800000000001
D5 v2,v2,1946.1799999999998,1692.14,1356.3400000000001,1555.6299999999999,1471.68,1366.5600000000002,1471.68,1366.5600000000002
DS1 v2,v2,121.91000000000001,105.85,84.68,97.09,91.98,85.41000000000001,91.98,85.41000000000001
DS11 v2,v2,256.96,215.35,177.39,203.67000000000002,192.72,177.39,192.72,177.39
DS12 v2,v2,513.92,431.42999999999995,354.78,406.61,385.44,354.78,385.44,354.78
DS13 v2,v2,1027.1100000000001,862.8599999999999,709.56,813.22,770.88,709.56,770.88,709.56
DS14 v2,v2,2054.2200000000003,1724.99,1419.12,1626.44,1541.0300000000002,1419.12,1541.0300000000002,1419.12
